handle,seo_title,seo_description,type
page-1,Contact Us | Trendy Temptations,"Reach out to Trendy Temptations for support, questions, or feedback.",page
page-2,Privacy Policy | Trendy Temptations,Learn how Trendy Temptations protects your privacy and handles data.,page
page-3,Terms of Service | Trendy Temptations,Understand the terms and conditions for using our website.,page
page-4,Shipping Information | Trendy Temptations,"Get details on our shipping policies, processing times, and tracking.",page
Product_1,Product 1 | Trendy Temptations,"Shop Product 1, a stylish option from our latest collection.",product
Product_2,Product 2 | Trendy Temptations,Explore Product 2 and other trendy items in our store.,product
Product_3,Product 3 | Trendy Temptations,"Discover the features of Product 3, a fan favorite.",product
Product_4,Product 4 | Trendy Temptations,Product 4 offers elegance and comfort for every occasion.,product
Product_5,Product 5 | Trendy Temptations,Upgrade your look with Product 5 from Trendy Temptations.,product
Product_6,Product 6 | Trendy Temptations,Product 6 blends classic style with modern trends.,product
Product_7,Product 7 | Trendy Temptations,Feel confident and chic in Product 7.,product
Product_8,Product 8 | Trendy Temptations,A must-have from our new collection: Product 8.,product
Product_9,Product 9 | Trendy Temptations,Versatile and trendy — that’s Product 9.,product
Product_10,Product 10 | Trendy Temptations,Stand out in Product 10 from our premium line.,product
